name,address,rate,location,cost,Ambience,Parking,Suggested Food
T3H Cafe,"504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, Bangalore",3.9,Banashankari,300.0,friends-hangout,,"coffee,cheese Maggie,masala fries"
360 Atoms Restaurant And Cafe,"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",3.1,Banashankari,400.0,friends-hangout,,"white sauce pasta,pizza,garlic bread stick,momos"
The Vintage Cafe,"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",3.0,Banashankari,400.0,bad,,"Chikmagalur Filter Coffee,Strawberry Milk Shake,Iced Tea,veg cheese corn sandwich,paneer burger,pizza"
Woodee Pizza,"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",3.7,Banashankari,500.0,,,"Hot Golden Cake Pizza,Jalapeo Garlic Bread"
Cafe Coffee Day,"SRF Complex, Near BDA Complex, Kathreguppe Main Road, Banashankari, Bangalore",3.6,Banashankari,900.0,friends-hangout,,"garlic bread,toastizza,Cool Blue beverage,sizzle dazzle brownie,burger,Frosteas,Pomegranate Frostea,Lemon Frostea,Tex Mex Sandwich,Hot cappuccino,Chilli cheese sandwich,mango shot,banana chips,Veg wraps"
My Tea House,"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",3.6,Banashankari,600.0,friends-hangout,,"tea,saffron tea,cranberry tea"
Hide Out Cafe,"775/1, Opposite Gupta Collage, 7th Block, 3rd Stage, Banashankari, Bangalore",3.7,Banashankari,300.0,friends-hangout,Yes,"chicken,eggfried rice,fries,hookah,Cheese potato kurkure,Chicken nachoes"
CAFE NOVA,"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",3.2,Banashankari,600.0,bad,,"pasta,banana coffee,hot chocolate with mint,sausage,nuts sundae,Hazelnut Cappuccino,Irish toppings"
Coffee Tindi,"27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore",3.8,Banashankari,200.0,,,"idlis,Kesari bath,set dosa,south meals,dosa,idli,vada,sambar,Sagu,panner in green pepper sauce,baby corn lollipop"
Sea Green Cafe,"1036, Srinidhi Plaza, 3rd floor, Above Nilgiris, Stage 2, Banashankari, Bangalore",3.3,Banashankari,500.0,excellent,,"Chicken Pakoda,Crispy Fried Chicken"
Cuppa,"940, Shantha Complex, 20th Main, 2nd Stage, Banashankari, Bangalore",3.3,Banashankari,550.0,bad,Yes,"coffee,corn spinach sandwich,mango smoothie,Nachos,Greenwave Sandwich,Paneer Sandwich,basket of fries,Chicken Tikka sandwich,potato wedges,Lasagna,cold coffee,espresso"
Srinathji's Cafe,"112, Bull Temple Road,next to more Basavanagudi, Bangalore",3.8,Basavanagudi,550.0,,Yes,"paneer,pastries"
Redberrys,"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",4.0,Basavanagudi,600.0,friends-hangout,,"pizzas,gelatos,Bramhins coffee,Belgian Chocolate,Oreo Blast,French Vanilla,Bubble gum,paneer and bell pepper pizza,Joe's burger,Alfredo penne pasta,farmhouse pizza,chocolate cake with Snickers ice cream"
Foodiction,"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",2.8,Banashankari,500.0,bad,,
Sweet Truth,"101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore",3.9,Banashankari,500.0,,,cheesecake
Ovenstory Pizza,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",3.9,Banashankari,750.0,friends-hangout,,"corn veggie delight pizza,chicken overloaded pizza,garlic bread,Chicken garlic bread,Middle Eastern Supreme Pizza,Garlic Bread with Mac and Cheese,paneer picante pizza,choco lava cake,brownie"
Faasos,"80, BDA Complex, 2nd Stage, Banashankari, Bangalore",4.2,Banashankari,500.0,bad,,"Navratri special thali,kuttu aloo parantha,sweet n sour Petha sabzi,paneer sabzi,raita,kheer,Jumbo Chicken Wrap,Cheese Melt Chicken Wrap,kulchas,chhole,butter chicken,biryani,sabudana khichdi,rolls,paneer makhanwala royal navratra meal,hare tamatar ki thali,sabudana vada,Aloo Paratha"
Behrouz Biryani,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",3.9,Banashankari,650.0,,,"Zaikedaar paneer biryani,mutton biryani,bhuna murgh biryani,shahi biryani,shahi kebabs,curd,Gulabjamun,chicken biryani,murgh Kefta,murg makhani biryani"
Fast And Fresh,"32, 7th Main Road, Dwaraka Nagar,Near PES College, Banashankari, Bangalore",2.8,Banashankari,400.0,,,"lassi,curd,Dal methi,dal fry,tandoori roti,Chicken Chettinad Curry"
Szechuan Dragon,"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",4.2,Banashankari,600.0,friends-hangout,,"leefu chicken,chilli garlic noodles,chicken lollipop,Manchow soup,shredded chicken,mixed Fu Yong,Singapore noodles,roast chilli chicken,lollipop,hunan prawns,Dimsum chicken,Veg wonton soup,Leefy baby corn,Dragon chicken,Butter garlic rice,Pulpy grape juice,general Tsos mushrooms,Kung pao babycorn,honey chilli potatoes,leefu fried rice,schezwan fried rice,veg ball manchurian sauce,Dragon chicken,Thai fried rice"
Empire Restaurant,"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",4.4,Jayanagar,750.0,friends-hangout,Yes,"Shawarma,Butter chicken gravy,Kerela parota,Egg dosa,Ghee rice,Dal,Roomali roti,Empire special chicken kabab,Grilled chicken,Big Veg thali,Paneer chilly,Paneer butter masala,Al faham,Dosa,Mutton curry,Chili chicken,Tandoori chicken,Pulpy grape juice,Chicken biryani,Shaadi ka biryani (mutton),Chicken lollipop,Tandoori roti,Chocolate pan,Rose pan,Malai pan"
Maruthi Davangere Benne Dosa,"556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore",4.0,Banashankari,150.0,,,"benne dosas,benne masala dosa,benne kaali,tea"
Chaatimes,"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore",3.8,Basavanagudi,200.0,excellent,,"dabeli,chats,basket chaat,tokri chaat"
Havyaka Mess,"Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore",3.9,Banashankari,300.0,bad,Yes,"Rice,sambhar,rasam,papad"
McDonald's,"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",3.9,Banashankari,500.0,friends-hangout,,"burger,coke,fries,coffee,ice cream"
Domino's Pizza,"645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore",3.9,Banashankari,800.0,family-friendly,,"veg loaded,zingy parcel,single topping pizza,Panner onion,capsicum,white sauce pasta,garlic bread,cheese burst pizza,chocolate lava cake"
Onesta,"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",4.6,Banashankari,600.0,excellent,,"pizzas,starters,pasta,tiramisu shots,mozzarella cheese balls,bacon pizza,chat pizza,herbed wedges,cheese balls,fish fingers"
Hotboxit,"2nd Stage, Banashankari, Bangalore",3.8,Banashankari,400.0,,,"chicken biryani,chilli chicken,Gulab jamun,chicken kebab,pepper chicken,panner chilli,Oreo milkshake,milkshake,spicy food,hazelnut milkshake,Oreo crush,pasta arbaiata"
Kitchen Garden,"1750, 14th Main, Police Station Road, Kumaraswamy Layout, Bangalore",3.6,Kumaraswamy Layout,300.0,,,"Indian veg thali,lemon chicken gravy"
Recipe,"1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore",4.0,Kumaraswamy Layout,450.0,,,"paneer gravy,Plain dal,White rice,phulkas,curd,pickle,onions,pakoda"
Beijing Bites,"179, 1st Floor, Jawarlalnehru Road, BEML Layout, Rajarajeshwari Nagar, Bangalore",3.7,Rajarajeshwari Nagar,850.0,bad,,"Chicken Beijing Noodles,Chicken Manchurian Gravy,Chicken noodles,Chilli Chicken Gravy,Chicken Schezwan,Perkins chicken,koi Thai noodles,chicken manchurian,chicken hakka noodles,Shanghai fried rice,Thai Chicken Red Curry with Steamed Rice"
Tasty Bytes,"1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore",3.1,Kumaraswamy Layout,300.0,,,
Petoo,"276, Ground Floor, 100 Feet Outer Ring Road, Banashankari 3rd Stage, Banashankari, Bangalore",3.7,Banashankari,450.0,,,masaledaar chole
Shree Cool Point,"1514, 4th Cross, 7th Main, RPC layout, 2nd Stage, Vijay Nagar, Bangalore",4.1,Vijay Nagar,150.0,,,"Musk melon juice,Carrot juice,Mushroom sandwich,corn sandwich,masala puri"
Corner House Ice Cream,"808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore",4.3,Banashankari,400.0,excellent,,"Death by chocolate,DBC,chocolate mousse with cream,choco nutty,choco almond sundae,Cake fudge,cashew fudge,caramel,fruit salad with ice cream,Lychee with icecream"
Biryanis And More,"178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore",4.0,Jayanagar,750.0,,,"chicken biryani,Boneless chicken Biryani,Egg Biryani,Chiken noodles,Afghani chicken biryani,Paneer Tikka Biryani,Green Chilli Biryani,Kaju biryani,Veg Mix,chicken tikka,chicken dum biriyani,chettinad chicken,DUM DUM Biryani rice"
Roving Feast,"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",4.0,Banashankari,450.0,friends-hangout,,"momos,Chilli noodles,Egg Fried rice,crispy chilli chicken,veg momos in manchurian sauce,steamed Momos,paneer Momos in schezwan sauce,white sauce pastas,arrabiata pastas,nachos,schezuan fried rice,Mock tails,chicken roll,chicken momos,chicken hakka noodles,crispy chilly chicken,momo Manchurian,Russian salad"
FreshMenu,"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",3.9,Banashankari,450.0,,,"chicken noodles,spinach potpie,lucknowie paneer biryani,gulab jamun mango jar,southwestern fried chicken,creamy pepper fusilli,cookie dough cake,Arabian pasta,paneer salad"
Banashankari Donne Biriyani,"218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore",3.8,Banashankari,300.0,,,
Wamama,"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",4.2,Banashankari,800.0,excellent,No,"sushi,dimsums,Egg fried rice,char Sui bao,Fruit punch,Korean wings,Hongkong noodles,Thai steamed fish,khow suey,Mushroom Manchurian,Manchow Soup,Bol Choy & Tofu Dumpling,Wamama Special Bao,Paneer Chilli,Japanese noodles,Teriyaki chicken,Japanese chicken fried rice,sweet chilly fries,fried ice cream"
Five Star Chicken,"484/A, 1st Stage, 2nd Block, 4th Main Rd, SBM Colony, Seetha Circle, Banashankari, Bangalore",3.6,Banashankari,200.0,bad,No,"popcorn,Chicken pieces,Italian hotdog,Wings,Puri puri chicken fry,Chicken roll,Chicken items"
XO Belgian Waffle,"18, B K Complex, Opposite To BDA Complex, 21st, Main Road, 2nd Stage, Banashankari, Bangalore",3.7,Banashankari,400.0,,,"bubble gum shake,coffee waffle,vanilla ice cream"
Peppy Peppers,"942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",4.2,Banashankari,800.0,excellent,,"hot chocolate,Nachos,Fries,Thai green curry,Quesadillas,Greek salad,garlic prawn,mozzarella cheese sticks,Arabiatta,Alfredo,Super Large Fries,Cheese cottage steak,Cajun Spice Potatoes,Butter Chicken Fries,Dal-Methi,Phulka,spinach corn mushroom sandwich,Cheese balls,Paneer tikka biriyani,Thin crust Chicken supreme pizza,Veg tortellini soup,Veg Masala Nachos"
Goa 0 Km,"1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore",3.6,Kumaraswamy Layout,800.0,excellent,,"ghee roast squids,ghee roast chicken,chicken kebab,lemon chicken,pomfret rechado masala,chicken gheeroast,seafood"
Chinese Kitchen,"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore",3.8,Basavanagudi,150.0,,,"Roti curry,Chinese meal combo"
1947,"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",4.0,Banashankari,850.0,excellent,,"spicy corn soup,sholey ke paneer,Panner Tikka Dum Biriyani,Panner Lababdar"
Cake of the Day,"295/B, 7th Main Road, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore",3.7,Banashankari,150.0,bad,No,"pineapple pastry,chocolate pastry,dark chocolate truffle,pineapple cupcake,chocolate mousse cup,mushroom puffs,black forest cake,Choco Almond pastry,Almond cake,Assorted Puff,eggless orange cake,honey cakes,mango cake,salt biscuits,paneer puff,vanilla pastry,butter biscuits"
Kabab Magic,"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",4.1,Basavanagudi,400.0,average,,"shawarma plate,mayonnaise,Chicken grill,biryani rice,grilled chicken,barbeque tandoor chicken,broast chicken,shawarma roll,biryani combo,kebab,tandoor chicken,grape juice,Rose milk"
Namma Brahmin's Idli,"30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, Bangalore",3.6,Jayanagar,100.0,family-friendly,,"thatte idlis,podi butter Idli,kharabath,pudi butter idle,khara bath,vade"
Gustoes Beer House,"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",4.1,Banashankari,1.2,friends-hangout,,"grilled fish steak,watermelon fizzy Mocktail,Kung Pao Chicken,Murgh Beer House Tikka,Paneer Sofiyan Tikka,French fries,pizzas,Raw Mango salad,Papaya salad"
Sugar Rush,"186, 11th Main, 4th Cross, Hanumanthnagar, Banashankari, Bangalore",3.8,Banashankari,300.0,,,"cupcakes,chocolate ganache cake,chocolate vanilla cake,Nutella,chocolate,eggless cakes,cupcakes,cake loafs,double chocolate,fondant cake,vanilla cake,beautifully designed cakes"
Burger King,"59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore",3.2,Basavanagudi,600.0,good,,"chicken whopper,large fries"
The Good Bowl,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",3.6,Banashankari,500.0,,,"panner tikka bowl,channa,Paneer Masala Bowl,Makai Masala Bowl,Mac n Cheese Bowl,Mughlai Chicken Rice Bowl,Veg Bowl with cottage Cheese"
The Biryani Cafe,"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",4.1,Banashankari,300.0,decent,,"Paneer fry,mint cooler,chicken Basmati biryani,Biryani Cafe Chicken Fry,Donne Biryani,Pudina Juice,jeer rice Biryani,egg chilli,kothu poratta,paneer special fry,mushroom fry"
LSD Cafe,"100 Feet Road, 3rd Stage, Banashankari, Bangalore",2.9,Banashankari,700.0,,,"veg dragon chopseuy,Chicken LSD biryani,dal khichdi,white sauce non-veg pasta,schezwan noodles,Gobi manchurian,kit kat shake,chicken tikka masala,garlic butter naan,American Chopsuey,Changezi Chicken,Egg Fried rice,Chilly paneer,Chicken Biryani,Mushroom Fried rice,Oreo shake"
Rolls On Wheels,"Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",3.6,Banashankari,300.0,friends-hangout,,"tava panneer roll,momoss,cheese fingers,rolls"
Sri Guru Kottureshwara Davangere Benne Dosa,"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",4.1,Basavanagudi,150.0,bad,,"Benne Masala Dosa,Girmittu,set Dosa,Mirchi,flitter coffee,opened dosa,paddu,khali dosa,Butter kali dosa,Chilli Bhajji,filter kaapi,benne dosa,salty coconut chutney,mashed potatoes"
Devanna Dum Biriyani Centre,"16th Main Road, Near PESIT College, Banashankari, Bangalore",3.6,Banashankari,300.0,bad,,"biriyani,kebab,Chicken meals,Chicken kabab,Paratha curry"
Kolbeh,"1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, Bangalore",3.7,Banashankari,500.0,family-friendly,,"burger,sandwich,french fries,kolbeh burger,lamp burger"
Upahar Sagar,"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",3.8,Banashankari,350.0,bad,Yes,"masala dosa,bisi bele bath,chow chow bath,triple fried rice,Madila Dosa,Dal fry,Jeera rice,Idli,vada,paneer tikka Masala,kulcha,North Indian thali,biryani,fried rice,gobi manchuri,gulab jamun,rava dosa"
Kadalu Sea Food Restaurant,"36, 2nd Main, RPC Layout, Vijay Nagar, Bangalore",3.8,Vijay Nagar,500.0,bad,,"chicken tikka gravy,naan,fried rice,Neer Dose,Fish Curry,Anjal Rava Fry,Prawns Pepper Dry"
Frozen Bottle,"2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",4.2,Banashankari,400.0,excellent,,"milkshakes,Ice cream jar,waffles,Nutty chocolate shake,icecreams,caramel icecream"
Parimala Sweets,"1142, 22nd Cross, 30th Main, Banashankari, Bangalore",3.5,Banashankari,200.0,,,"samosas,cham cham,jahangeer sweets,Rasgullas"
Vaishali Deluxe,"512, 2nd Cross, 3rd Stage, Banashankari, Bangalore",3.8,Banashankari,700.0,,,"Tandoori chicken,Special chicken dry"
The Big O Bakes,"45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, Bangalore",4.0,Banashankari,300.0,,,"chocolate cakes,red velvet cakes,red velvet cupcakes,seasonal flavours,customised cakes,dark chocolate salted caramel cake,seasonal strawberry cream cake,cake in a jar,banoffee pie,Nutella cupcakes,shooter cupcakes with baileys and jack Daniels,brownies,muffins,tarts,macaroons,strawberry sensation,key lime pie,banana muffins,JD truffles,cream cheese red velvet"
Meghana Foods,"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",4.4,Jayanagar,600.0,crowded,,"chicken boneless biriyani,Meghana special biriyani,lemon chicken,tandoori chicken,prawn biryani,lollypop biriyani,Dum Aloo Biryani"
Krishna Sagar,"38, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",3.5,Banashankari,200.0,bad,,"panner butter masala,thali,idli,bhindi masala,panner kolhapuri,butter chapati"
Dessert Rose,"1/34, 3rd Cross Road, Kathriguppe IV Phase, Banashankari 3rd Stage, Banashankari, Bangalore",3.5,Banashankari,500.0,,,"rose macaroon,chocolate macaroon"
Chickpet Donne Biryani House,"480/A, 50 feet road, Nagendra block, Near PES College, Nagendra block, Banashankari, Bangalore",3.7,Banashankari,250.0,family-friendly,,"biryani,chicken pepper dry"
Thanco's Natural Ice Creams,"941, 21st Main Road, BSK 2nd Stage , Near BDA Complex, Banashankari, Bangalore",3.2,Banashankari,300.0,friends-hangout,,"gulkand flavour,natural ice creams,milkshakes"
Nandhini Deluxe,"304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,",2.6,Banashankari,600.0,excellent,,"Biryani,south Indian meals"
Vi Ra's Bar and Restaurant,"3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",3.3,Banashankari,800.0,,,
Kaggis,"50 Feet Road, Hanumanthanagar, Banashankari, Bangalore",3.8,Banashankari,250.0,,,"veg puff's,paneer pizza piece"
Ayda Persian Kitchen,"34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",3.7,Banashankari,950.0,rustic and beautiful,,"joojeh,kobideh,hasiri,kabab sheshliks,korma sabzi,hummus,mast mosar,joojeh lohmei"
Chatar Patar,"24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore",3.7,Banashankari,300.0,,,"corn and mayo sandwich,dahi papdi chat"
Polar Bear,"96, Opposite Jain Collage, Basavanagudi, Bangalore",3.8,Basavanagudi,400.0,cozy,,Death By Chocolate
Kidambi's Kitchen,"2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, Bangalore",3.5,Banashankari,300.0,simple,,"beetroot palya,heerekai kootu,kosambari,chutney,chapati,puliyogere,chilly bajji,papad,curd,buttermilk,shavige paaysa,rice,rasam,sambar,kurma,poories,poori,saagu,Huli(Sambar),Saaru(Rasam),Shavige payasa,Happala(papad),mensinkai bajji(mirchi)"
Mane Thindi,"295/A, 7th Main road, 7th Block, 3rd Stage, Banashankari, Bangalore",3.7,Banashankari,200.0,bad,No,"jumbo thindi,Benne Masala dosa,Avarakalu dosa,Idly,small dosa,vada,Bread dosa,Ghee dosa,kesaribath,karabath"
Kotian Karavali Restaurant,"1189, 10th Cross, Shankarnag Circle, 1st Stage, 2nd Block, Banashankari, Bangalore",3.5,Banashankari,300.0,bad,,"neer dosa,anjal masala fry"
Floured-Baked With Love,"415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore",3.8,Banashankari,400.0,,,"red velvet cupcakes,chocolate cakes,dulce de leche brownies,vanilla cake with chocolate buttercream,chocolate cake with vanilla cream,lemon cake,cookies,plum cake"
CAFE NOVA,"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",3.2,Banashankari,600.0,excellent,,"pasta,banana coffee,hot chocolate with mint,sausage,nuts sundae,Hazelnut Cappuccino,Irish toppings"
Cakes  Slices,"27, 80 Feet Road, Srinivasnagar, Banashankari, Bangalore",3.5,Banashankari,300.0,excellent,,"samosa,pizza,pineapple pastries,butterscotch pastries,Breads cakes,Veg Puffs,Ohm Biscuits,Butter Biscuits,Khara Bread,Pineapple cake,Vanilla pastry,strawberry pastry,Chocolate pastry,palya (aloo) bun,khara bun,Bread toasts,fresh cream cakes,donuts,mousse cakes,choco lava,various kinds of puffs,rolls,chocolates"
